year,BWI,DTW,JFK,SFO,SLC,IAH,IAD,MCO,DFW
1,10,7.4,10,9.5,8.7,8.5,10,10,10
2,10,10,10,8.7,9.9,3.2,10,10,9.8
3,9.5,8,8.5,9.8,10,8.7,9.3,8.2,8.8
4,3.9,7.4,3.8,9.8,10,9.9,4.7,9.7,10
5,9.9,9,10,10,9.7,10,10,10,10
6,10,10,8.8,10,9.9,10,10,10,10
7,8.3,9.8,10,10,10,10,7.6,9.9,10
8,9.6,8.4,10,9.1,9.1,10,9.7,10,10
9,10,9.8,10,8.9,9.6,9.9,10,10,10
10,10,4.5,10,10,8.6,9.6,10,10,9.1
11,10,2.7,10,9.2,9,8.7,10,10,7.5
12,9.5,7.4,7.1,10,5.6,8.9,9.9,9.1,9.4
13,10,5.5,8.2,9.6,8.8,6.6,10,8.8,7.1
14,5,7.7,8.6,8.9,8.9,2.2,6.6,7.5,7
15,4.7,6.6,7.3,10,10,6.4,4,10,4.9
16,9.5,6.9,8.5,9,10,4.5,10,10,6
17,10,9.7,10,10,8.3,3.5,10,10,3.4
18,8.7,4.1,8.1,10,10,6.8,8.7,10,8.3
19,9.9,5.3,9.2,10,9.8,10,9.7,10,10
20,10,10,10,9.9,9.5,10,10,10,10
21,10,9.9,10,9.7,8.9,10,10,9.6,10
22,10,7.9,10,6.7,8.6,7.2,10,9.6,5.9
23,10,8.3,10,9.8,9.9,8.6,10,5.7,5.4
24,10,3.9,9.9,9.7,9.2,9.7,9.9,9,10
25,7.9,3.1,6.9,6.4,5.5,10,8.5,10,10
26,10,3.7,10,9.2,4.4,7.1,10,10,9.6
27,10,7.4,10,9.2,7.2,6.2,10,10,5.2
28,10,9.7,10,9.3,10,8.9,10,10,7.1
29,10,9.5,10,8.5,8.5,9.9,10,10,8.7
30,10,9.1,10,9.1,8.2,10,10,8.7,9.8
31,9.9,6.5,10,8.3,10,9.8,10,10,10
32,6.5,4.8,8.2,7.1,10,10,8.8,7.8,10
33,7.7,7.9,7.6,8.2,10,10,7,10,10
34,10,9.9,9.5,10,4.2,10,10,10,9.9
35,9.9,8.9,9.9,10,9.3,8.9,10,10,8
36,8.5,10,10,10,9.1,6.9,9,9.9,9.5
37,3.5,3.2,4.6,9.9,4.4,9.9,5.3,10,10
38,5.2,6.6,3.8,7.6,9.5,10,5.1,9.6,10
39,10,6.5,10,9.7,10,10,10,10,10
40,10,5.3,10,10,10,9.7,10,10,7.6
41,9.7,4.9,9.6,10,10,7.4,9.5,10,9.5
42,5,7.6,4.8,10,10,5.7,5.7,7.8,8.5
43,10,8.3,10,10,10,3.6,10,9.9,6.4
44,6.6,3.6,6.2,9.7,10,9.6,8.3,8.8,10
45,10,10,10,9.7,10,10,10,8.5,10
