Date,BWI,DTW,JFK,SFO,SLC,IAH,IAD,MCO,DFW
1,10.8,11.6,15.1,8.6,7.2,3.4,7.3,4.9,8.4
2,2,12.5,10.1,9.5,3.9,5.1,3,4.7,12
3,3.8,7,5.6,3.1,5.7,4.5,5.8,7.8,9.9
4,2.5,6.7,5.2,6.1,8.6,5.6,3,10,6
5,12.6,11.3,19.7,7.5,3.5,4.3,13.6,10,6.9
6,4.6,15.4,11.8,5.2,3.6,4,5.7,2.6,6.1
7,4.2,7.7,8.5,3.7,8.8,6.6,4.1,3.7,6.3
8,9.5,12.1,14.7,8.7,5.2,5,8.2,7.8,9.9
9,4.3,7.1,13,10.3,5.2,10.8,5.6,9,14
10,3.5,11.3,7.8,2.8,4.9,15.2,6.7,8.3,12.8
11,4.7,9.9,12,9,7.3,12.7,9.2,9.5,15.6
12,11.2,8.1,19.6,7.2,4,5,11.4,6,7.1
13,4.2,5.7,7.5,6.5,6.5,5.8,4.2,7,7
14,2.2,5.5,4.6,8.5,11.1,3.8,1.7,4.1,6.3
15,3.2,4.9,6.9,3.9,6.2,6.2,2.5,4.4,8.2
16,10,12.3,15.1,10.1,8.3,6.6,14.3,4.6,12.6
17,10.9,6.8,21.2,4,14,10,14.4,10.5,7.7
18,4,11.4,8.5,5,5.4,6,5.4,9.3,12.6
19,11.5,14.5,14.1,6.8,3.1,13.2,13,8.4,7.6
20,11.8,6.3,16.5,3.6,2.9,7.1,13.1,9.8,3.8
21,4.7,6.2,8.8,7.5,3.2,4.9,8.8,13,5
22,2.6,8.3,4.8,4.8,4.4,10.1,3.9,14.8,11.8
23,1.5,3.7,5.2,2.4,2.8,9.2,1.2,9.3,8.6
24,4.3,6.9,4.2,3.6,5.7,3.5,3.2,5.5,9.6
25,9.8,7.1,13.5,5.3,3.5,5.3,10.4,7,7.5
26,7.7,11.6,11.3,7.3,3.4,6,5.3,5.1,9.8
27,8.2,7.8,12.7,7.7,4.8,4.2,7,3.5,3.7
28,9.5,6.3,14.4,5.8,6.7,8.5,10.3,8.2,10.4
29,6.6,4,14.1,6.7,7.9,10.1,8.2,5.8,16.2
30,4.7,3.1,7.2,10.5,4,7.6,2.7,7.7,6.6
31,1.9,2.9,5.2,3.7,5.3,5.8,2.8,5.6,5.7
32,0.9,5.6,4.1,3,5.6,4.2,1.9,5.2,6.1
33,5.2,12.2,8.1,16.9,5.6,5.5,5.3,9.8,9.3
34,2.1,4.8,9.7,12.5,16,7.6,8.4,3,14.9
35,1.7,8.4,5.2,12.5,6.3,9,5.7,4.4,11.8
36,4.6,8.2,8.1,3.4,5.7,9.8,7.3,4.8,14.9
37,4.5,9.6,7,4.4,8,13,3.9,12.6,13.5
38,12.1,10,14.1,4.7,6.7,5.2,11.2,15.1,6.9
39,8.8,5.6,15,10.8,9.1,6.2,8.3,6.9,6.3
40,2.7,5.7,7.7,17.7,6.2,9.7,3.2,8.8,12.5
41,6.5,6.7,13.7,8.4,5,10.1,10.5,7.2,11.5
42,2.9,8,5.4,4,3.8,8.8,4.1,6.1,12.2
43,6.4,9.3,12.8,3.5,5.1,7.6,7.5,5,8.3
44,6.6,5.5,6.3,7.3,5.1,8.6,8.8,10,9.7
45,11.2,7.1,15.1,5.7,7.6,5.9,11.7,6.4,6.5
46,5.6,11.3,9.8,6.2,4.8,6.1,5.5,11.8,10.3
47,2.7,10.3,11.8,13.4,3.7,3.9,4.8,6.4,8.8
48,2.8,5.8,3.7,6.2,6,6.7,3.9,3.9,12.7
49,3.6,10.8,9.1,5.3,5.9,7.3,6.3,5.6,9.9
50,8.3,9.1,11.6,7.6,4.5,9.2,8,4.8,9.2
51,3.3,8.9,11.2,4.7,4.7,11,4.9,7.2,12.9
52,7,9.5,12,3.6,3.3,11.9,8.9,14.5,9.1
53,5.5,13.4,12.1,9.9,3.5,4,3.3,13.7,7.7
54,2.5,10.4,9.8,14.3,2.4,7.3,3.5,7.7,9.3
55,2.2,6.3,6.7,7.2,8.3,6.8,2.5,5.6,15.5
56,3.1,9.4,5,5.1,6.5,3.7,4.1,10,10.2
57,4.7,11.6,6.7,4,5.7,14.3,2.9,8.4,18.8
58,16.5,15.6,21.7,3.7,3.2,4.4,16.3,10.7,7.7
59,9.3,14,22.1,4,5.7,5,8.4,8.6,6.5
60,11.8,11.8,14.1,16.5,9.7,4.3,12.6,9,9.2
61,5.4,8.5,15.1,15.5,8.7,10.4,6.8,4.2,17.5
