Year,Afghanistan,Brazil,China,France,Germany ,India,Japan,Spain,United Kingdom
1950,7752.117,53974.728,554419.269,41833.873,69966.252,376325.2,82802.084,28069.734,50616.019
1951,7840.151,55606.413,569909.108,42031.196,70300.011,382376.945,84316.265,28219.62,50601.926
1952,7935.996,57283.658,582576.497,42315.598,70620.275,388799.076,85659.438,28399.033,50651.273
1953,8039.684,58999.276,593365.882,42654.661,70929.839,395544.365,86869.979,28600.36,50750.98
1954,8151.316,60749.49,603052.316,43024.817,71233.393,402578.594,87980.574,28818.012,50890.911
1955,8270.992,62533.92,612241.552,43411.377,71537.454,409880.606,89018.255,29048.392,51063.907
1956,8398.873,64355.709,621363.233,43808.997,71850.645,417442.811,90004.18,29290.079,51265.885
1957,8535.157,66221.469,630677.648,44221.224,72183.453,425270.709,90953.812,29543.626,51495.703
1958,8680.097,68140.426,640295.777,44659.052,72547.581,433380.978,91877.637,29811.311,51754.668
1959,8833.947,70123.372,650212.731,45138.433,72954.885,441798.571,92782.242,30096.577,52045.664
1960,8996.967,72179.235,660408.054,45673.147,73414.229,450547.675,93673.612,30402.413,52370.595
1961,9169.406,74311.338,670952.701,46266.974,73928.077,459642.166,94560.714,30729.65,52727.763
1962,9351.442,76514.329,682102.654,46907.043,74489.45,469077.191,95458.517,31075.475,53109.4
1963,9543.2,78772.647,694339.084,47560.825,75080.749,478825.602,96389.422,31432.768,53500.721
1964,9744.772,81064.572,708254.602,48184.414,75677.305,488848.139,97379.402,31791.938,53882.751
1965,9956.318,83373.533,724218.97,48746.653,76258.034,499123.328,98447.007,32146.255,54240.855
1966,10174.84,85696.502,742414.887,49232.536,76819.57,509631.509,99596.075,32491.643,54568.868
1967,10399.936,88035.815,762581.176,49651.08,77357.251,520400.577,100822.283,32830.181,54866.529
1968,10637.064,90387.079,784074.715,50024.587,77847.179,531513.834,102124.002,33168.777,55132.603
1969,10893.772,92746.607,805985.941,50387.441,78260.756,543084.333,103496.032,33517.677,55367.95
1970,11173.654,95113.265,827601.385,50763.921,78578.381,555189.797,104929.26,33883.749,55573.455
1971,11475.45,97482.928,848759.709,51162.569,78789.931,567868.021,106427.102,34267.463,55748.534
1972,11791.222,99859.388,869485.962,51573.268,78901.826,581087.255,107976.03,34664.234,55892.412
1973,12108.963,102259.497,889485.368,51979.531,78932.455,594770.136,109528.514,35069.433,56006.29
1974,12412.96,104706.193,908464.206,52356.793,78909.808,608802.595,111022.692,35476.435,56092.059
1975,12689.164,107216.209,926240.889,52688.575,78856.031,623102.9,112413.362,35879.21,56152.325
1976,12943.093,109790.943,942685.412,52969.314,78781.74,637630.085,113679.19,36276.748,56188.348
1977,13171.294,112425.392,957891.271,53208.549,78687.323,652408.766,114827.826,36666.77,56203.598
1978,13341.199,115121.158,972205.441,53423.112,78573.588,667499.815,115879.222,37040.401,56205.91
1979,13411.06,117878.412,986132.214,53637.073,78438.171,682995.348,116867.356,37386.81,56205.087
1980,13356.5,120694.012,1000089.228,53868.006,78283.101,698952.837,117816.942,37698.2,56209.164
1981,13171.679,123570.327,1014022.211,54121.009,78107.86,715384.997,118732.838,37971.968,56220.739
1982,12882.518,126498.322,1027948.989,54391.469,77926.016,732239.498,119605.254,38209.686,56241.408
1983,12537.732,129448.815,1042431.401,54675.37,77770.21,749428.958,120427.643,38413.3,56276.791
1984,12204.306,132383.569,1058171.973,54965.167,77682.293,766833.411,121189.269,38586.704,56332.902
1985,11938.204,135274.083,1075589.363,55254.838,77691.591,784360.012,121883.483,38733.866,56413.555
1986,11736.177,138108.915,1095014.106,55545.271,77806.136,801975.25,122509.119,38855.631,56522.505
1987,11604.538,140891.606,1116095.475,55837.622,78015.742,819682.095,123072.72,38954.49,56658.26
1988,11618.008,143627.505,1137724.234,56126.337,78307.525,837468.938,123584.522,39038.686,56812.754
1989,11868.873,146328.305,1158357.393,56404.303,78660.301,855334.675,124058.517,39118.555,56974.289
1990,12412.311,149003.225,1176883.681,56666.861,79053.984,873277.799,124505.243,39202.524,57134.377
1991,13299.016,151648.007,1192897.277,56913.58,79490.831,891273.202,124929.764,39299.081,57290.792
1992,14485.543,154259.382,1206711.243,57147.213,79963.166,909307.018,125331.3,39410.852,57446.041
1993,15816.601,156849.086,1218817.059,57370.375,80428.557,927403.866,125707.407,39533.726,57602.279
1994,17075.728,159432.717,1230020.026,57587.122,80832.928,945601.828,126053.127,39660.079,57763.382
1995,18110.662,162019.889,1240920.539,57801.887,81138.653,963922.586,126365.486,39787.413,57932.45
1996,18853.444,164614.682,1251636.178,58012.055,81323.666,982365.248,126644.099,39908.962,58113.554
1997,19357.126,167209.046,1261996.017,58220.657,81399.25,1000900.028,126892.745,40035.286,58307.32
1998,19737.77,169785.253,1271982.349,58444.245,81402.671,1019483.586,127117.436,40201.561,58509.972
1999,20170.847,172318.674,1281514.833,58704.381,81389.935,1038058.154,127326.063,40454.472,58715.859
2000,20779.957,174790.339,1290550.767,59015.092,81400.883,1056575.548,127524.168,40824.745,58923.305
2001,21606.992,177196.051,1299129.747,59384.126,81453.894,1075000.094,127713.824,41319.431,59124.277
2002,22600.774,179537.523,1307352.256,59803.434,81535.124,1093317.187,127893.075,41919.593,59326.294
2003,23680.871,181809.244,1315303.522,60251.591,81614.371,1111523.146,128058.368,42596.455,59561.429
2004,24726.689,184006.479,1323084.639,60697.977,81646.474,1129623.466,128204.183,43308.345,59872.76
2005,25654.274,186127.108,1330776.38,61120.128,81602.739,1147609.924,128326.115,44019.118,60287.953
2006,26433.058,188167.353,1338408.644,61508.924,81472.235,1165486.291,128422.74,44728.561,60821.349
2007,27100.542,190130.445,1345993.891,61869.229,81277.836,1183209.471,128494.05,45429.071,61455.154
2008,27722.281,192030.362,1353569.48,62209.207,81065.751,1200669.762,128538.644,46068.811,62145.098
2009,28394.806,193886.505,1361169.41,62542.883,80899.961,1217726.217,128555.196,46583.566,62828.62
2010,29185.511,195713.637,1368810.604,62879.535,80827.001,1234281.163,128542.349,46931.011,63459.801
2011,30117.411,197514.541,1376497.633,63222.229,80855.629,1250287.939,128498.966,47084.242,64021.922
2012,31161.378,199287.292,1384206.408,63564.224,80972.629,1265780.243,128423.571,47063.059,64525.3
2013,32269.592,201035.904,1391883.335,63893.521,81174.373,1280842.119,128314.189,46930.554,64984.015
2014,33370.804,202763.744,1399453.966,64193.55,81450.37,1295600.768,128168.63,46777.927,65423.048
2015,34413.603,204471.759,1406847.868,64453.194,81787.411,1310152.392,127985.139,46671.919,65860.149
2016,35383.028,206163.056,1414049.353,64667.59,82193.77,1324517.25,127763.267,46634.131,66297.944
2017,36296.111,207833.825,1421021.794,64842.513,82658.409,1338676.779,127502.728,46647.425,66727.463
2018,37171.922,209469.32,1427647.789,64990.512,83124.413,1352642.283,127202.19,46692.863,67141.678
2019,38041.757,211049.519,1433783.692,65129.731,83517.046,1366417.756,126860.299,46736.782,67530.161
2020,38928.341,212559.409,1439323.774,65273.512,83783.945,1380004.385,126476.458,46754.783,67886.004
2021,39835.428,213993.441,1444216.102,65426.177,83900.471,1393409.033,126050.796,46745.211,68207.114
2022,40754.385,215353.588,1448471.404,65584.514,83883.587,1406631.781,125584.839,46719.147,68497.913
2023,41681.232,216641.839,1452127.674,65745.189,83774.541,1419655.8,125081.316,46679.284,68765.935
2024,42608.714,217863.036,1455254.862,65902.029,83636.17,1432456.474,124543.923,46630.673,69021.842
2025,43531.523,219020.908,1457908.248,66050.606,83515.017,1445011.62,123975.981,46577.097,69273.64
2026,44449.106,220114.734,1460092.251,66190.532,83422.529,1457308.849,123379.107,46518.645,69524.1
2027,45363.56,221142.806,1461797.638,66323.948,83346.306,1469338.564,122754.999,46453.975,69771.961
2028,46275.305,222106.891,1463052.846,66451.747,83280.854,1481083.336,122107.379,46383.836,70016.263
2029,47185.165,223009.378,1463891.336,66575.352,83213.653,1492524.276,121440.546,46309.019,70254.648
2030,48093.576,223852.116,1464340.15,66695.705,83135.643,1503642.327,120758.056,46230.147,70485.483
2031,49000.19,224636.207,1464417.502,66812.867,83048.103,1514427.16,120062.518,46147.593,70709.292
2032,49904.008,225361.772,1464130.422,66926.041,82956.47,1524862.024,119355.235,46061.484,70927.465
2033,50803.985,226028.561,1463480.846,67034.148,82860.123,1534913.994,118636.758,45971.719,71140.069
2034,51698.839,226635.918,1462465.124,67135.68,82758.239,1544544.368,117906.953,45878.033,71347.133
2035,52587.415,227183.587,1461083.03,67229.46,82650.083,1553723.81,117166.138,45780.172,71548.756
2036,53468.94,227672.152,1459341.172,67315.168,82535.461,1562439.276,116415.51,45677.99,71744.927
2037,54342.917,228102.792,1457252.173,67392.742,82414.191,1570690.44,115657.089,45571.458,71935.935
2038,55208.543,228476.582,1454828.444,67461.584,82285.596,1578478.176,114892.928,45460.499,72122.612
2039,56065.157,228794.863,1452084.266,67521.106,82148.923,1585809.325,114125.389,45345.044,72306.03
2040,56912.008,229058.886,1449031.42,67570.922,82003.619,1592691.52,113356.481,45224.89,72486.896
2041,57748.48,229269.363,1445680.248,67610.831,81849.675,1599123.528,112587.239,45099.799,72665.441
2042,58573.847,229427.254,1442035.132,67640.954,81687.215,1605109.395,111818.498,44969.297,72841.365
2043,59387.21,229534.388,1438094.712,67661.693,81516.134,1610669.933,111051.701,44832.571,73014.051
2044,60187.566,229592.903,1433854.12,67673.657,81336.364,1615832.467,110288.3,44688.616,73182.661
2045,60974.108,229604.529,1429312.245,67677.388,81148.064,1620619.203,109529.352,44536.591,73346.419
2046,61746.119,229570.367,1424476.521,67673.172,80951.49,1625039.273,108775.261,44376.201,73505.28
2047,62503.158,229490.822,1419358.625,67661.299,80747.346,1629096.126,108025.99,44207.094,73659.104
2048,63245.02,229366.085,1413967.251,67642.429,80536.968,1632799.155,107281.347,44028.28,73807.098
2049,63971.682,229195.948,1408312.31,67617.343,80322.013,1636156.868,106540.925,43838.657,73948.3
2050,64682.976,228980.4,1402405.167,67586.729,80103.973,1639176.036,105804.023,43637.408,74081.983
2051,65378.498,228719.986,1396257.711,67551.148,79883.82,1641863.424,105070.735,43424.352,74208.011
2052,66057.693,228415.333,1389884.267,67511.019,79662.246,1644222.216,104340.206,43199.707,74326.612
2053,66720.061,228066.561,1383302.617,67466.802,79440.308,1646250.536,103609.652,42963.772,74438.066
2054,67365.07,227673.68,1376532.628,67418.882,79219.021,1647943.596,102875.493,42717.001,74542.855
2055,67992.198,227236.82,1369594.143,67367.707,78999.412,1649297.977,102134.984,42459.997,74641.527
2056,68601.077,226756.447,1362501.952,67313.753,78782.171,1650314.901,101387.484,42193.143,74734.268
2057,69191.273,226233.195,1355273.264,67257.605,78568.238,1650996.767,100633.223,41917.095,74821.528
2058,69762.278,225667.564,1347933.557,67199.943,78359.099,1651342.347,99871.668,41632.976,74904.248
2059,70313.576,225060.161,1340511.099,67141.552,78156.479,1651349.931,99102.486,41342.17,74983.541
2060,70844.694,224411.614,1333030.632,67083.084,77961.681,1651018.523,98325.804,41045.963,75060.473
2061,71355.26,223722.738,1325507.532,67024.918,77775.28,1650350.924,97541.836,40745.367,75135.388
2062,71844.941,222994.375,1317954.387,66967.475,77597.403,1649348.991,96751.617,40441.302,75208.709
2063,72313.405,222227.235,1310388.652,66911.463,77428.212,1648010.013,95957.186,40134.931,75281.33
