year,AMD,GME,AAPL,FB,AMC,NOK,PLTR,EXPR,PG
1,43.27,30.120001,25.2575,105.93,28.389999,5.91,9.5,19.040001,116.059998
2,45.380001,31.290001,25.280001,107.510002,28.440001,5.92,9.46,19.66,120.550003
3,45.700001,30.440001,25.2925,107.32,28.950001,5.94,9.2,20.450001,111.589996
4,39.009998,30.75,25.565001,109.410004,29.540001,6.01,9.03,20.85,101.839996
5,43.900002,31.66,25.629999,109.889999,29.389999,6.05,9.9,20.959999,114.07
6,38.709999,30.780001,26.145,110.669998,28.879999,6.01,10,20.709999,108.5
7,41.880001,31.91,26.4925,112.18,29,6.11,10,20.68,118.239998
8,39.119999,31.360001,26.450001,111.019997,28.98,6.07,9.95,21.09,117.449997
9,39.82,30.83,26.48,111.449997,29.41,6.08,9.89,21.110001,110.830002
10,39.610001,30.85,26.477501,111.849998,28.85,6.03,9.47,21.16,102.43
11,41.639999,30.18,26.68,112.25,28.35,6.06,9.34,21.01,97.699997
12,46.220001,30.370001,26.532499,112.540001,27.969999,5.87,9.91,20.790001,103.269997
13,44.630001,30.27,26.4175,113.050003,28.059999,5.78,9.71,20.68,100.919998
14,47.5,30.09,26.297501,113.690002,28.73,5.81,9.57,20.77,107.379997
15,46.580002,31.51,26.92,116.139999,28.950001,5.89,9.27,21.139999,110.169998
16,47.860001,31.76,27.389999,114.699997,28.360001,6.03,9.2,21.15,115
17,45.48,31.73,27.247499,114.099998,27.99,5.91,9.68,21.41,110
18,43.66,31.34,27.497499,116.059998,28.639999,5.8,9.49,21.389999,109.330002
19,44.490002,30.93,27.780001,112.550003,27.83,5.83,9.95,20.969999,114.400002
20,42.59,30.290001,27.452499,112.220001,27.52,5.74,10.95,20.68,115.080002
21,47.52,30.09,27.74,113.709999,28.120001,5.85,10.85,20.65,117.809998
22,47.560001,29.120001,27.135,113.639999,27.299999,5.74,10.75,20.16,112.769997
23,48.790001,29.49,27.165001,110.629997,27.360001,6.01,10.13,19.84,115.099998
24,48.380001,29.879999,27.254999,108.989998,26.950001,5.91,10.54,19.809999,114.660004
25,50.939999,30.09,27.610001,110.610001,27.389999,5.86,10.5,19.59,115.949997
26,54.93,31.469999,28.01,110.510002,28.16,6.07,10.72,20.129999,120.959999
27,54.990002,31.65,28.025,110.839996,27.860001,6.17,11.88,19.5,121.220001
28,56.950001,31.790001,27.4625,109.639999,27.57,6.12,13.83,19.540001,121.5
29,56.599998,32.209999,26.870001,110.449997,28.219999,6.13,14.67,20.01,124.690002
30,56.970001,32.450001,26.727501,112.290001,27.75,6.25,14,19.719999,120.599998
31,52.919998,32.889999,26.782499,112.419998,27.77,6.15,15.96,19.5,119.68
