year,GOOG,GME,AAPL,FB,AMC,NOK,PLTR,EXPR,AMZN
3/8/2016,693.969971,30.120001,25.2575,105.93,28.389999,5.91,9.5,19.040001,560.26001
3/9/2016,705.23999,31.290001,25.280001,107.510002,28.440001,5.92,9.46,19.66,559.469971
3/10/2016,712.820007,30.440001,25.2925,107.32,28.950001,5.94,9.2,20.450001,558.929993
3/11/2016,726.820007,30.75,25.565001,109.410004,29.540001,6.01,9.03,20.85,569.609985
3/14/2016,730.48999,31.66,25.629999,109.889999,29.389999,6.05,9.9,20.959999,573.369995
3/15/2016,728.330017,30.780001,26.145,110.669998,28.879999,6.01,10,20.709999,577.02002
3/16/2016,736.090027,31.91,26.4925,112.18,29,6.11,10,20.68,574.27002
3/17/2016,737.780029,31.360001,26.450001,111.019997,28.98,6.07,9.95,21.09,559.440002
3/18/2016,737.599976,30.83,26.48,111.449997,29.41,6.08,9.89,21.110001,552.080017
3/21/2016,742.090027,30.85,26.477501,111.849998,28.85,6.03,9.47,21.16,553.97998
3/22/2016,740.75,30.18,26.68,112.25,28.35,6.06,9.34,21.01,560.47998
3/23/2016,738.059998,30.370001,26.532499,112.540001,27.969999,5.87,9.91,20.790001,569.630005
3/24/2016,735.299988,30.27,26.4175,113.050003,28.059999,5.78,9.71,20.68,582.950012
3/28/2016,733.530029,30.09,26.297501,113.690002,28.73,5.81,9.57,20.77,579.869995
3/29/2016,744.77002,31.51,26.92,116.139999,28.950001,5.89,9.27,21.139999,593.859985
3/30/2016,750.530029,31.76,27.389999,114.699997,28.360001,6.03,9.2,21.15,598.690002
3/31/2016,744.950012,31.73,27.247499,114.099998,27.99,5.91,9.68,21.41,593.640015
4/1/2016,749.909973,31.34,27.497499,116.059998,28.639999,5.8,9.49,21.389999,598.5
4/4/2016,745.289978,30.93,27.780001,112.550003,27.83,5.83,9.95,20.969999,593.190002
4/5/2016,737.799988,30.290001,27.452499,112.220001,27.52,5.74,10.95,20.68,586.140015
4/6/2016,745.690002,30.09,27.74,113.709999,28.120001,5.85,10.85,20.65,602.080017
4/7/2016,740.280029,29.120001,27.135,113.639999,27.299999,5.74,10.75,20.16,591.429993
4/8/2016,739.150024,29.49,27.165001,110.629997,27.360001,6.01,10.13,19.84,594.599976
4/11/2016,736.099976,29.879999,27.254999,108.989998,26.950001,5.91,10.54,19.809999,595.929993
4/12/2016,743.090027,30.09,27.610001,110.610001,27.389999,5.86,10.5,19.59,603.169983
4/13/2016,751.719971,31.469999,28.01,110.510002,28.16,6.07,10.72,20.129999,614.820007
